Energy Demand (kWh),Energy PV (kWh)
1168,0
1104,0
1040,0
976,0
928,0
928,0
976,0
1312,0
1376,139.743
1312,465.165
1248,435.857
1312,294.855
1312,138.358
1296,89.616
1280,28.47
1232,0
1216,0
1280,0
1264,0
1264,0
1248,0
1232,0
1216,0
1152,0
944,0
960,0
896,0
912,0
928,0
976,0
1024,0
1392,5.697
1584,261.143
1808,551.506
2224,1141.646
2480,1512.662
2272,1574.506
2128,1457.887
2112,844.93
2176,12.594
2288,0
2608,0
2992,0
3088,0
3024,0
2944,0
2832,0
1856,0
1024,0
1008,0
944,0
944,0
944,0
960,0
1040,0
1344,2.773
1616,217.818
1792,533.861
2048,784.01
1840,966.371
1888,781.092
1968,521.346
1968,288.446
2096,0
2560,0
2880,0
2896,0
3056,0
2960,0
2976,0
2864,0
1888,0
1024,0
1040,0
992,0
992,0
976,0
992,0
1040,0
1376,4.741
1744,270.184
1920,410.176
2224,681.598
2080,895.386
2048,690.308
1968,228.585
2096,115.705
2064,0
2352,0
2512,0
2576,0
2864,0
2960,0
2864,0
2672,0
1904,0
976,0
976,0
896,0
944,0
944,0
976,0
1120,0
1424,0
1696,63.711
1984,195.633
2464,249.88
2432,241.413
2752,265.707
2816,247.569
2976,85.984
3168,0
3120,0
3168,0
3360,0
3104,0
3120,0
2928,0
2880,0
2032,0
1056,0
928,0
864,0
880,0
864,0
896,0
960,0
1296,0
1600,134.848
1856,344.338
2160,525.003
2320,582.993
2384,490.142
2512,390.026
2832,166.942
3040,0
3184,0
3056,0
3152,0
3152,0
3040,0
2944,0
2736,0
2048,0
912,0
864,0
832,0
848,0
832,0
864,0
944,0
1440,13.455
1872,299.52
2096,635.646
1744,1032.07
1696,1390.502
1744,1502.854
1888,1407.805
1936,678.359
1984,8.095
1808,0
1776,0
1808,0
1808,0
2000,0
1952,0
1952,0
1696,0
992,0
912,0
896,0
864,0
880,0
912,0
912,0
1296,4.072
1424,141.73
1776,325.653
1856,465.417
1920,488.63
1872,458.716
1840,351.906
1776,101.199
2208,0
2336,0
2784,0
2896,0
2864,0
2896,0
2800,0
2656,0
1808,0
912,0
912,0
848,0
864,0
896,0
944,0
976,0
1312,14.906
1744,325.667
1824,676.771
1856,1016.69
2048,1165.946
2016,1097.341
1952,717.509
1776,287.804
2160,0
2432,0
2496,0
2672,0
2992,0
3008,0
2880,0
2816,0
1936,0
992,0
976,0
912,0
928,0
896,0
944,0
992,0
1296,15.894
1664,325.904
2000,681.788
1888,1106.331
1920,1378.175
1872,1401.858
1808,1064.681
1744,416.418
2304,5.805
2144,0
2336,0
2544,0
2944,0
3040,0
2912,0
2768,0
1824,0
1008,0
976,0
960,0
944,0
944,0
976,0
1008,0
1360,1.341
1664,172.632
2016,363.69
2064,491.723
1872,356.512
2288,203.315
2288,127.058
2080,35.733
2416,0
2752,0
2896,0
3008,0
2992,0
2976,0
2944,0
2928,0
1936,0
1056,0
1024,0
976,0
944,0
960,0
960,0
1056,0
1376,0.668
1648,164.167
1936,461.877
2288,909.72
2416,1270.932
2832,828.622
2976,244.662
2976,35.88
3008,0
2976,0
3168,0
3152,0
3104,0
